#,標題,上架類型,總下載,發佈7天,發佈30天,單集長度,發布日期
0,Ep22. 失智後的父親就像返老還童，林葉亭：上帝好像給了我一個新的爸爸！,public,1999,1999,1999,2104.356563,2024-12-30T09:17:07Z
1,Ep21. 失智症下的雙重人生：一個丈夫、一個患者的真實告白ft.台灣失智症協會曾清芳顧問,public,1392,1092,1392,772.325333,2024-12-16T10:11:23Z
2,Ep20. 嘉義縣翁章梁縣長 全力打造「在嘉安老」創新失智照護體系引領全國,public,2007,1420,1916,1713.084082,2024-11-26T08:38:14Z
3,Ep19. 七十四歲兒子照顧九十六歲母親，推理小說家葉桑把失智母親當女兒寵愛,public,1535,1054,1420,1230.685625,2024-11-14T10:22:05Z
4,Ep18. 當父母罹患失智症，身為子女的我該如何面對最熟悉的陌生人？feat.臨床心理師黃耀庭,public,2197,1353,1983,1555.213594,2024-10-30T11:19:42Z
5,Ep17. 失智症者與照顧者的療癒課，用音樂譜出失智症家庭的溫柔篇章 feat.中華民國音樂輔助身心照顧專業協會創辦人暨理事長、音樂療癒師賴香芸,public,1516,997,1316,1780.037344,2024-10-22T10:07:52Z
6,Ep16. 旅人Talks：獨扛重擔圓滿孝道？三天內吃完一周的藥？26歲肩負照顧責任？從失智旅人看照顧怎麼伴！,public,1626,878,1272,1701.077656,2024-09-26T10:21:12Z
7,Ep15. 失智症可以及早檢測及早預防嗎？博恩爸爸、台大醫師曾文毅的大腦逆齡回春奇蹟,public,9197,1473,3890,1340.081633,2024-09-16T09:30:42Z
8,Ep14. 打造失智居家友善環境 解決長者的空間方向障礙 feat. 若晨室內裝修公司專案經理 徐宛菱,public,1424,554,1265,1601.451719,2024-08-29T10:00:59Z
9,Ep13. 助你一臂之力！智慧科技如何貼心老後生活？feat. 樂齡網總經理  張慶光,public,1272,543,1010,1804.304531,2024-08-14T07:30:30Z
10,Ep12. 成立22年照顧失智症家庭的幕後功臣，台灣失智症協會向國際展示台灣經驗！feat.台灣失智症協會秘書長 陳筠靜,public,1387,581,1126,1966.8425,2024-07-31T09:30:04Z
11,Ep11. 守護台灣失智症家庭超過三十年，湯麗玉談國際新觀念、新作法及新興治療,public,1699,1014,1364,2428.988906,2024-07-15T09:00:26Z
12,Ep10. 旅人Talks：名人？素人？那些關於失智旅人的真實故事！,public,1361,666,1033,1394.058594,2024-06-26T09:40:00Z
13,Ep 9. 預防人老財散！守護失智者免受金融剝削 ft. 康寧社會福利協會理事長、律師鄭智陽,public,1850,1070,1449,1800.515918,2024-06-14T04:00:00Z
14,Ep 8. 該怎麼好好說再見？面對生命的失去與安排失智家人的身後事 feat. 生命自主講師/國家禮儀師-彭大維,public,4323,691,3515,2101.695,2024-05-29T07:07:54Z
15,Ep 7. 失智照護左右為難？ 從失智旅人看照顧者的困境,public,1884,791,1272,1676.288594,2024-05-14T10:09:10Z
16,Ep 6. 生活比吃藥重要！失智者日常活動的聰明安排 feat 台灣失智症協會理事、社區職能治療師、延希職能治療所所長-柯宏勳,public,3198,1516,2202,1938.061094,2024-04-25T06:00:00Z
17,Ep 5. 新北市失智友善民眾最有感，從城市到鄉村，從山區到海邊，都能照顧陪伴你 feat. 新北市政府衛生局專門委員 陳玉澤,public,1460,593,850,2143.549375,2024-04-15T07:30:39Z
18,Ep 4. 失智症日常照顧真兩難？解鎖剛剛好的照顧密碼 feat. 天主教失智老人基金會資深社工 劉怡吟,public,2932,783,1864,1601.973594,2024-03-26T03:30:00Z
19,Ep 3. 新生代演員安德森照顧失智阿嬤，用藝術找到生命出口,public,1437,645,959,1486.874063,2024-03-11T09:00:00Z
20,Ep 2. 意想不到又出乎意料？想要預防失智，就要先戒掉這些生活習慣！feat. 台北市政府衛生局局長 陳彥元,public,4180,1314,2674,1951.395,2024-02-06T02:26:43Z
21,Ep 1. 一日三餐傷腦筋？有吞嚥困難的失智者怎麼吃？ feat.食食樂語言治療所所長 王雪珮,public,2090,731,1133,1263.302813,2024-01-23T09:59:02Z
